PROVINCIENAAM,PLEEGGEMEENTE,PAALGEGEVENS,OMSCHRIJVING_FEITGROEP,INSTROOM,FLEX
Gelderland,Arnhem,3415 Arnhem Batavierenweg kruising Eldenseweg,Verkeerslicht,54
Gelderland,Arnhem,3415 Arnhem Batavierenweg kruising Eldenseweg,Snelheid,2301
Gelderland,Zevenaar,3416 Zevenaar Ringbaan-Noord kruising Lentemorgen,Snelheid,189
Gelderland,Zevenaar,3416 Zevenaar Ringbaan-Noord kruising Lentemorgen,Verkeerslicht,181
Gelderland,Nijmegen,3417 Nijmegen N326 Graafseweg kruising Neerbosscheweg richting Centrum,Snelheid,161
Gelderland,Nijmegen,3417 Nijmegen N326 Graafseweg kruising Neerbosscheweg richting Centrum,Verkeerslicht,86
Gelderland,Nijmegen,3418 Nijmegen Neerbosscheweg kruising Graafseweg,Verkeerslicht,348
Gelderland,Nijmegen,3418 Nijmegen Neerbosscheweg kruising Graafseweg,Snelheid,109
Gelderland,Nijmegen,3419 Nijmegen Neerbosscheweg kruising Jonkerbosplein richting Goffert,Snelheid,118
Gelderland,Nijmegen,3419 Nijmegen Neerbosscheweg kruising Jonkerbosplein richting Goffert,Verkeerslicht,407
Gelderland,Nijmegen,3420 Nijmegen N326 Graafseweg richting Grave kruising Neerbosscheweg,Verkeerslicht,103
Gelderland,Nijmegen,3420 Nijmegen N326 Graafseweg richting Grave kruising Neerbosscheweg,Snelheid,907
Gelderland,Nijmegen,3421 Nijmegen N326 Oranjesingel kruising Prins Bernhardstraat,Snelheid,136
Gelderland,Nijmegen,3421 Nijmegen N326 Oranjesingel kruising Prins Bernhardstraat,Verkeerslicht,130
Gelderland,Nijmegen,3547 Nijmegen Neerbosscheweg kruising Jonkerbosplein richting Malden,Snelheid,31
Gelderland,Nijmegen,3547 Nijmegen Neerbosscheweg kruising Jonkerbosplein richting Malden,Verkeerslicht,172
Gelderland,Arnhem,3549 Arnhem N325 Pleijweg kruising Nijmeegseweg,Verkeerslicht,6
Gelderland,Arnhem,3549 Arnhem N325 Pleijweg kruising Nijmeegseweg,Snelheid,5
Gelderland,Arnhem,3550 Arnhem N325 Pleijweg kruising Nijmeegseweg,Verkeerslicht,49
Gelderland,Nijmegen,3551 Nijmegen N326 Oranjesingel kruising Van Schevichavenstraat,Verkeerslicht,207
Gelderland,Nijmegen,3551 Nijmegen N326 Oranjesingel kruising Van Schevichavenstraat,Snelheid,398
Gelderland,Arnhem,3556 Arnhem Burgemeester Matsersingel kruising Groningensingel,Verkeerslicht,89
Gelderland,Arnhem,3556 Arnhem Burgemeester Matsersingel kruising Groningensingel,Snelheid,290
Gelderland,Apeldoorn,3571 Apeldoorn Arnhemseweg kruising Ravenweg,Verkeerslicht,145
Gelderland,Apeldoorn,3571 Apeldoorn Arnhemseweg kruising Ravenweg,Snelheid,1036
Gelderland,Apeldoorn,3620 Apeldoorn Jachtlaan thv perceel 93,Snelheid,2166
Gelderland,Voorst,3621 Voorst N791 Molenallee thv hmp 3.7,Snelheid,3332
Gelderland,Arnhem,3623 Arnhem Marga Klompelaan thv lichtmast 12,Snelheid,1557
Gelderland,Ede,3625 Ede Van Balverenweg thv perceel 63,Snelheid,1434
Gelderland,Rheden,3626 Rheden Harderwijkerweg thv perceel 5a,Snelheid,1359
Gelderland,Ede,3628 Ede Molenstraat thv perceel 192,Snelheid,933
Gelderland,Ede,3629 Ede N310 Dorpsstraat thv perceel 225,Snelheid,1043
Gelderland,Ede,3630 Ede N310 Otterloseweg thv perceel 5,Snelheid,9135
Gelderland,Nijkerk,3631 Nijkerk Frieswijkstraat thv perceel 115,Snelheid,1386
Gelderland,Nijmegen,3632 Nijmegen Sint Annastraat thv lichtmast NL31,Snelheid,1712
Gelderland,Nijmegen,3633 Nijmegen Van Apelterenweg thv kruising Malvert,Snelheid,1146
Gelderland,Nijmegen,3634 Nijmegen Van Schuylenburgweg thv kruising Zwanenveld,Snelheid,832
Gelderland,Nijkerk,3732 Nijkerk Vetkamp thv perceel 70,Snelheid,533
Gelderland,Nijmegen,3733 Nijmegen Energieweg thv perceel 17 richting Industrieplein,Snelheid,2545
Gelderland,Nijmegen,3734 Nijmegen Energieweg thv perceel 17 richting Neerbosscheweg,Snelheid,2459
Gelderland,Barneveld,3750 Barneveld Stationsweg N805 thv huisnr 51,Snelheid,3175
Gelderland,Putten,3814 Putten Van Geenstraat thv Haverstraat,Snelheid,2121
Gelderland,Rheden,3815 Rheden Hoofdstraat thv perceel 36,Snelheid,1477
Gelderland,Ede,3816 Ede N310 Arnhemseweg thv perceel 42,Snelheid,5843
Gelderland,Putten,3882 Putten N303 Harderwijkerstraat thv hmp 14.7,Snelheid,970
Gelderland,Nijmegen,3884 Nijmegen N326 Graafseweg kruising Campusbaan,Snelheid,483
Gelderland,Nijmegen,3884 Nijmegen N326 Graafseweg kruising Campusbaan,Verkeerslicht,160
Gelderland,Arnhem,3890 Arnhem Nijmeegseweg kruising Gelderse Rooslaan,Verkeerslicht,135
Gelderland,Arnhem,3890 Arnhem Nijmeegseweg kruising Gelderse Rooslaan,Snelheid,1402
Gelderland,Nijmegen,3901 Nijmegen N326 Wijchenseweg kruising woonboulevard richting Centrum,Snelheid,2572
Gelderland,Nijmegen,3901 Nijmegen N326 Wijchenseweg kruising woonboulevard richting Centrum,Verkeerslicht,63
Gelderland,Nijmegen,3906 Nijmegen N326 Graafseweg kruising Willemsweg,Snelheid,1126
Gelderland,Nijmegen,3906 Nijmegen N326 Graafseweg kruising Willemsweg,Verkeerslicht,39
Gelderland,Arnhem,3914 Arnhem N224 Amsterdamseweg kruising Schelmseweg,Verkeerslicht,23
Gelderland,Arnhem,3914 Arnhem N224 Amsterdamseweg kruising Schelmseweg,Snelheid,323
Gelderland,Culemborg,3918 Culemborg N320 Provincialeweg Kruising Rietveldseweg,Verkeerslicht,83
Gelderland,Culemborg,3918 Culemborg N320 Provincialeweg Kruising Rietveldseweg,Snelheid,1202
